--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
int is x bytes: 2
long is x bytes: 4
.........................................................................Collecting Temperature '_'
Time(ms),Temperature(oC)
1,30.57
1001,30.49
2001,30.40
3001,30.57
4002,30.66
5002,30.83
6002,30.92
7002,29.97
8002,30.49
9002,30.66
10002,30.66
11003,30.66
12002,30.57
13002,30.49
14002,30.31
15003,30.23
16002,30.06
17001,29.97
18002,29.80
19002,29.80
20002,29.63
21001,29.54
22002,29.37
23002,29.37
24001,29.37
25001,29.29
26001,29.29
27002,29.20
28002,29.12
29002,29.03
30002,28.95
31003,28.86
32002,28.78
33001,28.69
34002,28.69
35002,28.61
36002,28.53
37001,28.44
38002,28.44
39002,28.36
40002,28.36
41002,28.27
42002,28.27
43003,28.19
44003,28.19
45003,28.10
46003,28.02
47004,28.02
48004,27.94
49003,27.85
50004,27.77
51004,27.77
52005,27.77
53004,27.69
54005,27.69
55005,27.69
56006,27.69
57005,27.60
58005,27.60
59006,27.60
--END OF COLLECTING TEMPERATURE--
VARIATION: 5.384
TATAL  TRIGGERRED total: 5.384	predicted: 5.38
---START PC TRANSMISSION---
--TIME DOMAIN--
Time,Temperature
0.000,30.572
1.333,30.485
2.667,30.399
4.000,30.572
5.333,30.658
6.667,30.831
8.000,30.918
9.333,29.970
10.667,30.485
12.000,30.658
13.333,30.658
14.667,30.658
16.000,30.572
17.333,30.485
18.667,30.313
20.000,30.227
21.333,30.055
22.667,29.970
24.000,29.799
25.333,29.799
26.667,29.628
28.000,29.542
29.333,29.372
30.667,29.372
32.000,29.372
33.333,29.287
34.667,29.287
36.000,29.202
37.333,29.117
38.667,29.032
40.000,28.948
41.333,28.863
42.667,28.778
44.000,28.694
45.333,28.694
46.667,28.609
48.000,28.525
49.333,28.441
50.667,28.441
52.000,28.357
53.333,28.357
54.667,28.272
56.000,28.272
57.333,28.188
58.667,28.188
60.000,28.104
61.333,28.020
62.667,28.020
64.000,27.937
65.333,27.853
66.667,27.769
68.000,27.769
